"CODE","DESCRIPTION"
"b1g_64_clv_qna_sa","Real Gross Value Added, Financial service activities, except insurance and pension funding (value added generated by financial service activities, excluding insurance and pension funds, reflecting how well the financial sector is doing)"
"b1g_66_clv_qna_sa","Real Gross Value Added, Activities auxiliary to financial services and insurance activities"
"b1g_lmn_hsifim_clv_qna_sa","Real Gross Value Added, Financial and insurance activities, FISIM"
"ccpi_ea_oe_i2015_q","EA, HICP core"
"clize","Composite Leading Indicator for the Euro Area by the OECD"
"cnat_clv_qna_sa","Households final consumption expenditure on the territory and abroad"
"conjcomd_sa_m","survey data - activity in retail sector"
"conjcon_sa_m","survey data - activity in construction sector"
"conjemp_m","survey data - leading indicator of employment"
"conjempcomd_sa_m","survey data - emplyoment activity in services sector"
"conjempind_sa_m","survey data - employment expectations in industry"
"conjempse_sa_m","survey data - emplyoment activity in services sector"
"conjempstd_m","survey data - leading indicator of employment (standardized)"
"conjind_sa_m","survey data - activity in industry"
"cons2_lu_tot_12_bs_m","EC Cons. Surveys, Consumer Confidence, Statement on Financial Situation of Household, Balance, SA"
"cons2_lu_tot_14_bs_q","EC Cons. Surveys, Consumer Confidence, Purchase or Build a Home within the Next 12 Months, SA"
"cons2_lu_tot_2_bs_m","EC Cons. Surveys, Consumer Confidence, Financial Situation Over Next 12 Months, Balance, SA"
"cons2_lu_tot_4_bs_m","EC Cons. Surveys, Consumer Confidence, General Economic Situation Over Next 12 Months, Balance, SA"
"cons2_lu_tot_6_bs_m","EC Cons. Surveys, Consumer Confidence, Price Trends Over Next 12 Months, Balance, SA"
"cons2_lu_tot_6_pp_m","EC Cons. Surveys, Consumer Confidence, Development of Consumer Prices in the Next 12 Months, Rise a Lot"
"cons2_lu_tot_7_bs_m","EC Cons. Surveys, Consumer Confidence, Unemployment Expectations Over Next 12 Months, Balance, SA"
"cons2_lu_tot_8_bs_m","EC Cons. Surveys, Consumer Confidence, Major Purchases at Present, Balance, SA"
"cons2_lu_tot_9_bs_m","EC Cons. Surveys, Consumer Confidence, Major Purchases Over Next 12 Months, Balance, SA"
"cons2_lu_tot_cof_bs_m","EC Cons. Surveys, Consumer Confidence, Balance, SA"
"cons_lu_tot_12_mm_m","EC Cons. Surveys, Consumer Confidence, Statement on Financial Situation of Household, Very Negative"
"cons_lu_tot_12_pp_m","EC Cons. Surveys, Consumer Confidence, Statement on Financial Situation of Household, Very Positive"
"cons_lu_tot_4_mm_m","EC Cons. Surveys, Consumer Confidence, General Economic Situation Over Next 12 Months, Very Negative"
"cons_lu_tot_4_pp_m","EC Cons. Surveys, Consumer Confidence, General Economic Situation Over Next 12 Months, Very Positive"
"cons_lu_tot_8_mm_m","EC Cons. Surveys, Consumer Confidence, Major Purchases at Present, Very Negative"
"cons_lu_tot_8_pp_m","EC Cons. Surveys, Consumer Confidence, Major Purchases at Present, Very Positive"
"cons_lu_tot_9_mm_m","EC Cons. Surveys, Consumer Confidence, Major Purchases Over Next 12 Months, Very Negative"
"cons_lu_tot_9_pp_m","EC Cons. Surveys, Consumer Confidence, Major Purchases Over Next 12 Months, Very Positive"
"cpi_i2015_inx_lu_q_sa","Luxembourg, Consumer Price Index, Total, Overall, Index, Seasonal adjusted"
"cpub_clv_qna_sa","Final consumption expenditure of general government"
"credconsmen_m","banking-HH cons. cred."
"ecb_cissdu2z0z4fecss_cinidx","Euro Area, Leading Indicators, ECB, New Composite Indicator of Systemic Stress (CISS), Index"
"ecccarnet","Business survey in construction – balance of question 3: ""Order book level"""
"eccduree","Business survey in construction – balance of question 6: ""Guaranteed activity duration (in months)"""
"eccemppersp","Business survey in construction – balance of question 4: ""Employment outlook"""
"ecconslu","Consumer confidence indicator Luxembourg, composite of questions Q2, Q4, Q7, and Q11"
"ecconsze","Consumer confidence indicator Euro Area, composite of questions Q2, Q4, Q7, and Q11"
"eccprodrec","Business survey in construction – balance of question 1: ""Change in construction activity"""
"ecicarnet","Business survey in industry – balance of question 2: ""Total order book level"""
"ecidegre","Business survey in industry – balance of question 13: ""Capacity utilization rate (in %)"""
"eciduree","Business survey in industry – balance of question 10: ""Guaranteed production duration (in months)"""
"eciprodpersp","Business survey in industry – balance of question 5: ""Production outlook"""
"eciprodrec","Business survey in industry – balance of question 1: ""Recent production trend"""
"ecserv","Business survey in services (seasonally adjusted)"
"emp_be_oe_base_q","BE, Employment, total"
"emp_de_oe_base_q","DE, Employment, total"
"emp_ea_oe_base_q","EA, Employment, total"
"emp_fr_oe_base_q","FR, Employment, total"
"esiindze","Economic sentiment indicator for industry in the euro area (European Commission)"
"esiservze","Economic sentiment indicator for services in the euro area (European Commission)"
"esize","Economic sentiment indicator for the euro area (European Commission)"
"eurocoin","Leading coincident indicator of the euro area business cycle (CEPR – Centre for Economic Policy Research)"
"export_b_clv_qna_sa","Exports of goods"
"export_clv_qna_sa","Luxembourg's Exports of Goods and Services"
"export_s_clv_qna_sa","Exports of services"
"frin_m","employment-cross-border workers"
"gdp_r_ea","Real GDP, Euro Area"
"gdp_r_sa","Real GDP, Seasonally Adjusted"
"gvafin_r_sa","Real Real Gross Value Added, Financial Sector, Seasonally Adjusted"
"gvaoth_r_sa","Real Real Gross Value Added, Other Sectors, Seasonally Adjusted"
"gvatot_r_sa","Real Real Gross Value Added, Total, Seasonally Adjusted"
"heures_payees_2008___heures_travaillees__2009__total_construction","Construction paid hours 2008 (total construction)"
"hicp_ea_oe_i2015_q","EA, Consumer price index"
"hotot_m","employment-declared hours worked"
"hototinterimigss_m","employment-hours by salaried employees"
"ialim_ze_oe_base_q","Eurozone price index, HICP food, alcohol and tobacco"
"iener_ze_oe_base_q","Eurozone price index, HICP energy"
"ifoerw","IFO business expectations Germany, seasonally adjusted values"
"import_231_232_clv_qna_sa","Real Gross Value Added, Imports of refined petroleum products (heating oil, petrol, diesel)"
"import_401_403_clv_qna_sa","Real Gross Value Added, Imports of final energy products (electricity, gas)"
"import_b_clv_qna_sa","Imports of goods"
"import_clv_qna_sa","Imports"
"import_s_clv_qna_sa","Imports of services"
"indep_m","employment-independent employees"
"indu_lu_tot_1_bs_m","Luxembourg, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Production Trend Observed in Recent Months, Balance, SA"
"indu_lu_tot_2_bs_m","Luxembourg, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Assessment of Order-Book Levels, Balance, SA"
"indu_lu_tot_3_bs_m","Luxembourg, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Assessment of Export Order-Book Levels, Balance, SA"
"indu_lu_tot_5_bs_m","Luxembourg, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Production Expectations for the Months Ahead, Balance, SA"
"interim_m_sa","Number of persons employed by companies offering interim work services"
"ires_r_sa","Real Residential Investment"
"irt_lt_ea_oe_pc_q","Euro Area Interest rates, Long-term interest rates, average yields on government bonds issued by euro-area countries"
"irt_st_ea_oe_pc_q","Euro Area Interest rates, short-term interest rate"
"mb_r_sa_q","Imports of goods, sa"
"mes_m","employment-employment measures"
"non_residentiel","Building permits in 1000 m2, non residential"
"nsal_m","Employment in Luxembourg (salaried employment, excludes self-employed)"
"oens_m","employment-vacant job offers"
"oensflux_m","employment-employment offers"
"opcnet","Net issuance of assets or shares by investment funds (regulated collective investment funds UCITS domiciled in Luxembourg)"
"p_cfin_sa","Prices Final Consumption SA"
"p_immolu_q","Real-estate price index, Luxembourg"
"p_pib_sa","Deflator GDP SA"
"p_xb_q","trade - export prices"
"pibde_r_sa","rGDP of Germany"
"pibfr_r_sa","rGDP of France"
"pmicomeur","Purch Man Index Com EUR"
"ppi_ze_oe_base_q","Euro Area Prices, producer price index - total"
"prod_lux___eurostat","Production in construction"
"prodind_ea_oe_base_q","EA, Industrial production index (excluding construction)"
"production_du_mois__total_construction","Construction business activity survey"
"r_ub_oe_base_q","Unemployment rate, ILO definition"
"r_ud_oe_base_q","Unemployment rate, ILO definition"
"r_ueu_oe_base_q","Unemployment rate, ILO definition"
"r_uf_oe_base_q","Unemployment rate, ILO definition"
"residentiel","Building permits in 1000 m2, residential"
"stoxx50_oe_base_q","Stock market index that tracks the stock-market performance of 50 leading blue-chip companies from 18 European countries."
"total__direct_","Issued Building permits (in 1 m²)"
"total__somme_residentiel_non_residentiel_","Building permits (in 1,000 m²) Total (residential + non-residential sum)"
"trb11_clv_qna_sa","External balance of goods and services"
"trb1g_vc_clv_qna_sa","Real Gross Value Added, Manufacturing"
"trb1g_vf_clv_qna_sa","Real Gross Value Added, Construction"
"trb1g_vg_i_clv_qna_sa","Real Gross Value Added, Wholesale and retail trade; repair of motor vehicles; transportation and storage; accommodation and food service activities."
"trb1g_vj_clv_qna_sa","Real Gross Value Added, Information and communication"
"trb1g_vl_clv_qna_sa","Real Gross Value Added, Real estate activities"
"trp311_s_14_clv_qna_sa","P311_S14 Final consumption expenditure of households, durable goods"
"trp313_s_14_clv_qna_sa","P313_S14 Final consumption expenditure of households, non-durable goods"
"trp314_s_14_clv_qna_sa","P314_S14 Final consumption expenditure of households, services"
"trp41_clv_qna_sa","Actual individual consumption"
"trp51_clv_qna_sa","Gross fixed capital formation"
"uflux_m","employment to unemployment flow"
"ur_ze_oe_base_q","ZE, Unemployment rate"
"usd_eur_oe_base_q","Exchange rate, period average, per Euro"
"usprod1022","United States, Industrial Production, Total, Constant Prices, SA, Index"
"volume_bati_non_residentiel","Construction – Building permits: Non-residential built volume"
"volume_bati_residentiel","Construction – Building permits: Residential built volume (Volume of residential construction approved by building permits, explains future housing development activity)"
"volume_bati_total","Construction – Building permits: Total built volume"
"vstoxx_m","stock prices- EZ stock price volatility index"
"xb_r_q","trade - Exports of goods"
"zewfin","ZEW Economic Sentiment Indicator Germany, balances"
"im_r_de_oe_base_q","Real imports of Germany"
"ims_r_de_oe_base_q","Real imports of Services of Germany"
"img_r_de_oe_base_q","Real imports of Goods of Germany"
"im_r_be_oe_base_q","Real imports of Belgium"
"ims_r_be_oe_base_q","Real imports of Services of Belgium"
"img_r_be_oe_base_q","Real imports of Goods of Belgium"
"im_r_fr_oe_base_q","Real imports of France"
"ims_r_fr_oe_base_q","Real imports of Services of France"
"img_r_fr_oe_base_q","Real imports of Goods of France"
"im_r_neighbours","Real imports of Ger+Bel+Fra"
"ims_r_neighbours","Real imports of Services of Ger+Bel+Fra"
"img_r_neighbours","Real imports of Goods of Ger+Bel+Fra"
"p_mgn_synth_oe_base_q","Import Price Index for Goods Ger+Bel+Fra"
"p_msn_synth_oe_base_q","Import Price Index for Services for Ger+Bel+Fra"
"p_mgs_synth_oe_base_q","Import Price Index of Ger+Bel+Fra"
"p_gas_wrl_oe_base_q_eur","World Gas Price Index"
"brent_usd_oe_base_q_eur","Oil Price Index (Brent)"
"p_petus_oe_base_q_eur","Wholesale Petroleum Price Index"
"ir_spread","Interest Rate Spread (long-term rate minus short-term rate)"
